# Nombre,Logo,URL
TYC Sports,https://i.ibb.co/zVFXG5Yh/descarga.png,https://tvlibreonline.org/html/fl/?get=VHlDU3BvcnQ
TNT,https://i.ibb.co/fzhG4ydg/tnt-p.png,https://tvlibreonline.org/html/fl/?get=VE5UX1Nwb3J0c19IRA
ESPN PREMIUM,https://i.ibb.co/0VfyKJW0/ESPN-P.png,https://tvlibreonline.org/html/fl/?get=Rm94X1Nwb3J0c19QcmVtaXVuX0hE
HBO FAMILY,https://i.ibb.co/HTQJPjdQ/hbo-f.png,https://bestleague.one/cvatt.html?get=SEJPX0ZhbWlseQ==&lang=1
TN,https://i.ibb.co/SwRf1bdF/tn-1.jpg,https://bestleague.one/cvatt.html?get=VG9kb05vdGljaWFz&lang=1
TV EVENTOS,https://i.ibb.co/6JFJ970G/TVEVENTOS.png,https://streamtpglobal.com/global1.php?stream=espn2
AMERICA TV,https://i.ibb.co/70y5VF0/americatv.jpg,https://bestleague.one/cvatt.html?get=QW1lcmljYVRW&lang=1
ELTRECE,https://i.ibb.co/zKq8Swg/ELTRECE.jpg,https://bestleague.one/cvatt.html?get=QXJ0ZWFySEQ&lang=1
MONITV,https://i.ibb.co/zKq8Swg/ELTRECE.jpg,https://tv.arkeo.cl:19360/8134/8134.m3u8
+CINE,https://i.ibb.co/zKq8Swg/ELTRECE.jpg,https://tv.arkeo.cl:19360/8128/8128.m3u8
ANIRETRO,https://i.ibb.co/zKq8Swg/ELTRECE.jpg,https://tv.arkeo.cl:19360/8000/8000.m3u8
YOUTUBE-TN,https://i.ibb.co/zKq8Swg/ELTRECE.jpg,https://www.youtube.com/watch?v=cb12KmMMDJA



